Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BXG,"Bluegreen Vacations Corp",7.2,-0.09,-1.23%,7.5,7.52,7.02,149100,07/31/20
BXMT,"Blackstone Mortgage Trust Inc Cl A",24.07,-0.12,-0.50%,24.07,24.28,23.53,1077000,07/31/20
BXS,"Bancorpsouth Inc",20.93,-0.48,-2.24%,21.24,21.28,20.51,449800,07/31/20
BY,"Byline Bancorp Inc",12.96,-0.48,-3.57%,13.92,13.92,12.91,105100,07/31/20
BYD,"Boyd Gaming Corp",23.67,-0.71,-2.91%,24.14,24.18,23.19,1770500,07/31/20
BYSI,"Beyondspring Inc",11.03,-0.67,-5.73%,11.72,11.74,10.96,104700,07/31/20
BZH,"Beazer Homes USA",11.19,-0.1,-0.89%,11.8,11.97,10.73,981100,07/31/20
CABA,"Cabaletta Bio Inc",11.43,0.029999999999999,+0.26%,11.33,11.65,11,108300,07/31/20
CAC,"Camden Natl Cp",31.69,-0.36,-1.12%,31.84,31.93,31.04,70800,07/31/20
CADE,"Cadence Bancorp Cl A",7.81,-0.16,-2.01%,7.93,7.98,7.65,1017600,07/31/20
CAI,"Cai International",17.21,-0.66,-3.69%,17.62,17.77,16.72,62600,07/31/20
CAKE,"Cheesecake Fact",24,-1.44,-5.66%,25.47,25.73,23.67,2115700,07/31/20
CAL,"Caleres Inc",6.31,-0.27,-4.10%,6.5,6.66,6.26,635300,07/31/20
CALA,"Calithera Biosci Com",4.7,-0.16,-3.29%,4.86,4.87,4.65,531700,07/31/20
CALB,"California Bancorp",13.11,-0.58,-4.24%,13.53,13.59,12.59,22400,07/31/20
CALM,"Cal-Maine Foods IN",43.94,-0.22,-0.50%,44.5,44.79,43.26,441700,07/31/20
CALX,"Calix Inc",20.51,-0.74,-3.48%,21.5,21.58,20.13,1038600,07/31/20
CAMP,"Calamp Corp",7.88,-0.0099999999999998,-0.13%,7.88,7.9,7.63,249300,07/31/20
CAR,"Avis Budget Group",25.9,-0.64,-2.41%,26.57,26.73,25.17,4349700,07/31/20
CARA,"Cara Therapeutics",16.44,-0.51,-3.01%,17,17,16.21,299000,07/31/20
CARE,"Carter Bank&Tr [Va]",7.05,-0.14,-1.95%,7.25,7.25,6.95,95100,07/31/20
CARG,"Cargurus Inc Cl A",28.89,0.96,+3.44%,28.09,28.95,27.55,1329900,07/31/20
CARS,"Cars.com Inc",8.12,-0.2,-2.40%,8.31,8.37,7.77,2358600,07/31/20
CASA,"Casa Systems Inc",5.61,-0.0099999999999998,-0.18%,5.19,5.65,5.01,512200,07/31/20
CASH,"Meta Financial Group",18.66,-0.050000000000001,-0.27%,18.59,18.84,18,183100,07/31/20
CASI,"Casi Phrmactcls Inc",1.93,-0.1,-4.93%,2.04,2.04,1.92,567800,07/31/20
CASS,"Cass Information Sys",35.83,-0.51000000000001,-1.40%,36.14,36.34,35.19,57300,07/31/20
CATB,"Catabasis Pharma",5.78,-0.12,-2.03%,5.85,5.93,5.63,147200,07/31/20
CATC,"Cambridge Bancorp",54.19,-0.31,-0.57%,53.47,54.42,52.8,35800,07/31/20
CATM,"Cardtronics Inc",22.33,-0.71,-3.08%,22.98,23.02,21.91,468800,07/31/20
CATO,"Cato Corp",7.19,-0.15,-2.04%,7.27,7.3,7.03,313800,07/31/20
CATY,"Cathay Genl Bncp",24.18,-0.41,-1.67%,24.4,24.55,23.79,372200,07/31/20
CBAN,"Colony Bankcorp Inc",10.67,-0.040000000000001,-0.37%,10.79,12,10.63,12600,07/31/20
CBAY,"Cymabay Therapeutics",3.55,0.05,+1.43%,3.85,3.87,3.47,4631700,07/31/20
CBB,"Cincinnati Bell Inc",15.01,0.12,+0.81%,14.9,15.01,14.9,478100,07/31/20
CBFV,"Cb Financial Svc",17.3,0.85,+5.17%,16.79,17.52,16.79,25800,07/31/20
CBIO,"Catalyst Bio",5.11,-0.23,-4.31%,5.3,5.35,4.9,522500,07/31/20
CBMG,"Cellular Biomedicine",13.17,-0.09,-0.68%,13.21,13.43,12.95,94500,07/31/20
CBNK,"Capital Bancorp Inc",10.62,-0.2,-1.85%,10.63,10.63,10.62,4300,07/31/20
CBRL,"Cracker Barrel",110.47,-2.05,-1.82%,112.89,112.89,108.9,306200,07/31/20
CBTX,"Cbtx Inc",15.79,-0.78,-4.71%,16.37,17.21,13.82,85100,07/31/20
CBU,"Community Bank System",56.23,-2.11,-3.62%,57.9,58.14,56.01,1308000,07/31/20
CBZ,"Cbiz Inc",24.18,0.96,+4.13%,23.02,24.23,22.95,483800,07/31/20
CCB,"Coastal Financial Corp",13.37,-0.030000000000001,-0.22%,13.26,14.65,13.25,18400,07/31/20
CCBG,"Capital City Bank Gr",18.83,-0.28,-1.47%,19.02,19.13,18.61,43600,07/31/20
CCF,"Chase Corp",100.56,-7.17,-6.66%,106.09,106.09,99.26,31500,07/31/20
CCMP,"Cabot Microelectron",150.72,-4.26,-2.75%,155.01,155.96,148.63,230500,07/31/20
CCNE,"Cnb Financial Corp",16.33,-0.36,-2.16%,16.5,16.65,15.78,50700,07/31/20
CCOI,"Cogent Comm Hlds",90.11,1.37,+1.54%,88.97,90.22,88.67,482200,07/31/20
CCRN,"Cross Ctry Hlthcr",6.48,-0.18,-2.70%,6.62,6.66,6.36,224100,07/31/20
CCS,"Century Communities Inc",35.62,-0.86,-2.36%,36.52,36.55,34.5,804300,07/31/20
CCXI,"Chemocentryx Inc",52.71,-2.1,-3.83%,54.81,55,51.15,496000,07/31/20
CDE,"Coeur Mining Inc",7.93,0.05,+0.63%,8.07,8.13,7.71,8149900,07/31/20
CDLX,"Cardlytics Inc",66.42,0.22,+0.33%,66.9,67.99,65.51,425300,07/31/20
CDMO,"Avid Bioservices Inc",7.42,0.16,+2.20%,7.2,7.45,7.12,493000,07/31/20
CDNA,"Caredx Inc",33.35,0.07,+0.21%,33.46,33.57,32.95,538100,07/31/20
CDTX,"Cidara Thera",3.65,-0.16,-4.20%,3.8,3.81,3.59,210200,07/31/20
CDXC,"Chromadex Corp CS",5.06,-0.19,-3.62%,5.23,5.26,4.98,302300,07/31/20
CDXS,"Codexis Inc",11.83,0.11,+0.94%,11.71,11.86,11.46,327200,07/31/20
CDZI,"Cadiz Inc",10.62,0.08,+0.76%,10.5,10.76,10.49,164400,07/31/20
CECE,"C E C O Envir",6.7,-0.31,-4.42%,6.92,7.01,6.62,91200,07/31/20
CEIX,"Consol Energy Inc",5.88,-0.04,-0.68%,5.88,5.92,5.5,343000,07/31/20
CELH,"Celsius Holdings Inc",14.67,-0.050000000000001,-0.34%,14.98,15.06,14.29,501900,07/31/20
CEMI,"Chembio Diagnostics",5.53,0.17,+3.17%,5.3,5.83,5.12,10468000,07/31/20
CENT,"Central Garden",37.86,-0.99,-2.55%,38.62,38.98,36.92,88000,07/31/20
CENTA,"Central Garden & Pet",34.65,-0.6,-1.70%,35.31,35.5,33.68,285700,07/31/20
CENX,"Century Aluminum C",8.71,1.03,+13.41%,7.64,8.74,7.6,5059500,07/31/20
